Protocol #,Country,Site #,Site Status,Site Enroll Status,PI Last Name,PI First Name,Account,Site Clin Complete - Actual,CTP Complete Date - Actual,Data Refresh Date
AI438-047,Argentina,8,Active,Recruiting,Cecchini,Diego,Hospital General De Agudos Dr. Cosme Argerich,,3/31/2016 0:00,8/31/2018
AI438-047,Argentina,10,Active,Recruiting,Loiza,Eliana,Fundacion IDEAA,,11/4/2015 0:00,8/31/2018
AI438-047,Argentina,11,Cancelled,Not Recruiting,Altclas,Javier,Medeos,,,8/31/2018
AI438-047,Argentina,12,Active,Recruiting,Martins,Marcelo,Instituto Oulton,,9/17/2015 0:00,8/31/2018
AI438-047,Argentina,25,Active,Recruiting,David,Daniel,Hospital Rawson,,11/18/2015 0:00,8/31/2018
AI438-047,Argentina,49,Cancelled,Not Recruiting,Galindez,Jorge,Cibic -Centro De Diagnostico Medico De Alta Complejidad S.A.,,,8/31/2018
AI438-047,Argentina,144,Cancelled,Not Recruiting,Hojman,Martin,Hospital Magdalena V. de Martinez,,,8/31/2018
AI438-047,Argentina,145,Cancelled,Not Recruiting,Belloso,Waldo,Hospital Italiano De Buenos Aires,,,8/31/2018
AI438-047,Argentina,181,Active,Recruiting,Zala,Carlos,Centro Medico Dra De Salvo,,11/27/2015 0:00,8/31/2018
AI438-047,Australia,87,Active,Recruiting,Carr,Andrew,St Vincent'S Hospital (Nsw),,8/6/2015 0:00,8/31/2018
AI438-047,Australia,88,Not Selected,On Hold,Quin,John,Liverpool Hospital,,,8/31/2018
AI438-047,Australia,89,Active,Recruiting,McMahon,James,The Alfred Hospital,,8/7/2015 0:00,8/31/2018
AI438-047,Australia,90,Clinically Complete,Recruiting,Roth,Norman,Prahran Market Clinic,7/11/2016 0:00,8/28/2015 0:00,8/31/2018
AI438-047,Australia,91,Clinically Complete,Recruiting,Finlayson,Robert,Taylor Square Private Clinic,6/28/2016 0:00,7/29/2015 0:00,8/31/2018
AI438-047,Australia,92,Not Selected,Not Recruiting,Shaw,David,Royal Adelaide Hospital,,,8/31/2018
AI438-047,Belgium,1,Active,Recruiting,De Wit,Stephane,Centre Hospitalier Universitaire Saint-Pierre,,8/7/2015 0:00,8/31/2018
AI438-047,Belgium,2,Active,Recruiting,Florence,Eric,"Florence , Eric",,7/24/2015 0:00,8/31/2018
AI438-047,Belgium,3,Not Selected,Not Recruiting,Lacor,Patrick,Akademisch Ziekenhuis Vub,,,8/31/2018
AI438-047,Belgium,157,Not Selected,Not Recruiting,Dhondt,Lionel,Chu Mont-Godinne,,,8/31/2018
AI438-047,Brazil,113,Active,"Active, Not Recruiting",De Andrade Neto,Jose Luiz,Instituto A.Z. De Ensino E Pesquisa,,1/19/2016 0:00,8/31/2018
AI438-047,Brazil,114,Active,"Active, Not Recruiting",Brites,Carlos,Ufba - Hospital Universitario Edgard Santos,,1/21/2016 0:00,8/31/2018
AI438-047,Brazil,115,Clinically Complete,Completed,Lima,Maria Patelli,Inst. de Infectologia Campinas,10/27/2016 0:00,1/21/2016 0:00,8/31/2018
AI438-047,Brazil,116,Active,"Active, Not Recruiting",Madruga,Jose Valdez,Centro De Referencia E Treinam,,1/14/2016 0:00,8/31/2018
AI438-047,Brazil,117,Active,"Active, Not Recruiting",Sprinz,Eduardo,Hospital De Clinicas De Porto Alegre,,2/17/2016 0:00,8/31/2018
AI438-047,Brazil,118,Active,"Active, Not Recruiting",Grinsztejn,Beatriz,Hospital Evandro Chagas Fiocruz,,1/18/2016 0:00,8/31/2018
AI438-047,Brazil,119,Active,"Active, Not Recruiting",Della Negra,Marinella,Instituto De Infectologia Emilio Ribas,,2/4/2016 0:00,8/31/2018
AI438-047,Brazil,122,Active,"Active, Not Recruiting",Diaz,Ricardo,Unifesp-Univ Federal S.Paulo,,1/26/2016 0:00,8/31/2018
AI438-047,Brazil,123,Active,"Active, Not Recruiting",Morejon,Karen,Hospital Das Clinicas Da Fac. Med. Ribeirao Preto,,2/5/2016 0:00,8/31/2018
AI438-047,Brazil,124,Active,"Active, Not Recruiting",Ribeiro,Flavia,Hosp Das Clinicas Da Universidade Federal De Minas Gerais,,1/21/2016 0:00,8/31/2018
AI438-047,Canada,98,Active,Recruiting,Angel,Jonathan Benjamin,Ottawa General Hospital,,7/7/2015 0:00,8/31/2018
AI438-047,Canada,99,Clinically Complete,Recruiting,Conway,Brian,Vancouver ID Reserach & Care Centre Society,9/29/2016 0:00,3/10/2015 0:00,8/31/2018
AI438-047,Canada,100,Clinically Complete,Recruiting,Laplante,Francois,Clinique Medicale Du Quartier Latin,9/23/2016 0:00,6/8/2015 0:00,8/31/2018
AI438-047,Canada,101,Clinically Complete,Recruiting,Hull,Mark,St Pauls Hospital,9/19/2016 0:00,7/20/2015 0:00,8/31/2018
AI438-047,Canada,102,Clinically Complete,Recruiting,Loutfy,Mona,Maple Leaf Medical Clinic,10/11/2016 0:00,5/14/2015 0:00,8/31/2018
AI438-047,Canada,104,Clinically Complete,Recruiting,Routy,Jean-Pierre,Montreal Chest Institute Of The Royal Victoria Hospital,9/12/2016 0:00,9/4/2015 0:00,8/31/2018
AI438-047,Canada,105,Clinically Complete,Recruiting,Trottier,Sylvie,CHU de Quebec Research Centre,9/20/2016 0:00,10/2/2015 0:00,8/31/2018
AI438-047,Canada,111,Active,Recruiting,Murray,Melanie,"BC Women's Hospital and Health Centre, Oak Tree Clinic",,10/28/2015 0:00,8/31/2018
AI438-047,Canada,112,Active,Recruiting,Longpre,Daniele,Clinique Medicale Lactuel,,4/15/2015 0:00,8/31/2018
AI438-047,Canada,120,Active,Recruiting,Walmsley,Sharon,The Toronto Hospital - General Division,,5/14/2015 0:00,8/31/2018
AI438-047,Canada,179,Cancelled,Not Recruiting,Rachlis,Anita,Sunnybrook Health Sciences Centre,,,8/31/2018
AI438-047,Chile,18,Active,Recruiting,Perez,Carlos,Pontifica Universidad Catolica De Chile,,1/20/2016 0:00,8/31/2018
AI438-047,Chile,19,Active,Recruiting,Wolff,Marcelo,Fundacion Arriaran,,10/2/2015 0:00,8/31/2018
AI438-047,Chile,20,Active,Recruiting,Chahin,Carolina,Hosp. Dr Hernan Henriquez Aravena / Unid. De Infectologia,,9/24/2015 0:00,8/31/2018
AI438-047,Chile,27,Cancelled,Not Recruiting,Lasso,Martin,Hospital Sotero Del Rio,,,8/31/2018
AI438-047,Chile,28,Active,Recruiting,Beltran,Carlos,Hospital Barros Luco,,10/2/2015 0:00,8/31/2018
AI438-047,Chile,176,Active,Recruiting,Ballesteros,Juan,Centro Medico Gerter,,2/10/2016 0:00,8/31/2018
AI438-047,Colombia,50,Clinically Complete,Recruiting,Sussmann Pena,Otto,Asistencia Cientifica De Alta Complejidad,7/12/2016 0:00,12/22/2015 0:00,8/31/2018
AI438-047,Colombia,51,Active,Recruiting,Velez,Juan,Fundacion Valle de Lili,,10/26/2015 0:00,8/31/2018
AI438-047,Colombia,52,Clinically Complete,Recruiting,Zuluaga,Ivan,Infectologos Asociados Ltda,12/3/2015 0:00,10/21/2015 0:00,8/31/2018
AI438-047,Colombia,53,Clinically Complete,Recruiting,Rojas,Elsa,Centro de Atencion y Diagnostico de Enfermedades Infecciosas CDI S.A.,7/25/2016 0:00,10/26/2015 0:00,8/31/2018
AI438-047,Colombia,54,Clinically Complete,Recruiting,Leal,Hector,Administradora Del Country S.A. - Clinica Del Country,8/11/2016 0:00,9/3/2015 0:00,8/31/2018
AI438-047,France,60,Active,"Active, Not Recruiting",Molina,Jean Michel,Hopital Saint Louis,,4/22/2015 0:00,8/31/2018
AI438-047,France,61,Active,Completed,Girard,Pierre-Marie,Hopital Saint Antoine,,6/17/2015 0:00,8/31/2018
AI438-047,France,62,Active,"Active, Not Recruiting",Katlama,Christine,Groupe Hospitalier Pitie-Salpetriere,,6/29/2015 0:00,8/31/2018
AI438-047,France,63,Clinically Complete,Completed,Landman,Roland,Hopital Bichat Claude Bernard,7/29/2016 0:00,6/18/2015 0:00,8/31/2018
AI438-047,France,64,Active,"Active, Not Recruiting",Neau,Didier,Hopital Pellegrin,,4/16/2015 0:00,8/31/2018
AI438-047,France,65,Active,"Active, Not Recruiting",Pialoux,Gilles,Hopital Tenon,,6/17/2015 0:00,8/31/2018
AI438-047,France,66,Active,"Active, Not Recruiting",Poizot-Martin,Isabelle,Hopital Sainte Marguerite,,4/14/2015 0:00,8/31/2018
AI438-047,France,67,Active,"Active, Not Recruiting",Raffi,Francois,Chu Nantes,,6/17/2015 0:00,8/31/2018
AI438-047,France,68,Active,"Active, Not Recruiting",Salmon-Ceron,Dominique,Hopital Hotel Dieu,,6/19/2015 0:00,8/31/2018
AI438-047,France,164,Clinically Complete,Not Recruiting,Ferry,Tristan,Hopital De La Croix Rousse,5/20/2016 0:00,6/19/2015 0:00,8/31/2018
AI438-047,Germany,125,Active,"Active, Not Recruiting",Stephan,Christoph,Johann Wolfgang Goethe Universitaet,,9/1/2015 0:00,8/31/2018
AI438-047,Germany,129,Active,"Active, Not Recruiting",Baumgarten,Axel,Zibp Infektiologie Berlin,,6/26/2015 0:00,8/31/2018
AI438-047,Germany,130,Active,"Active, Not Recruiting",Bogner,Johannes,Lmu Medizinische Poliklinik,,7/23/2015 0:00,8/31/2018
AI438-047,Germany,135,Active,"Active, Not Recruiting",Arasteh,Keikawus,EPIMED GmbH,,6/29/2015 0:00,8/31/2018
AI438-047,Germany,137,Clinically Complete,"Active, Not Recruiting",Jensen,Bjoern,Uniklinikum Duesseldorf,9/19/2016 0:00,7/2/2015 0:00,8/31/2018
AI438-047,Germany,138,Active,"Active, Not Recruiting",Hower,Martin,Klinikum Dortmund,,6/25/2015 0:00,8/31/2018
AI438-047,Germany,140,Clinically Complete,"Active, Not Recruiting",Esser,Stefan,Universitaetsklinikum Essen,9/19/2016 0:00,8/12/2015 0:00,8/31/2018
AI438-047,Germany,141,Clinically Complete,"Active, Not Recruiting",Jaeger,Hans,MUC Research,10/5/2016 0:00,7/28/2015 0:00,8/31/2018
AI438-047,Germany,142,Active,"Active, Not Recruiting",Schuermann,Dirk,Campus Virchow Klinikum Der Charite,,7/14/2015 0:00,8/31/2018
AI438-047,Germany,182,Active,"Active, Not Recruiting",Kern,Winfried V.,Universitaetsklinikum Freiburg,,9/15/2015 0:00,8/31/2018
AI438-047,Greece,38,Active,Recruiting,Metallidis,Symeon,Axepa Hospital,,8/7/2015 0:00,8/31/2018
AI438-047,Greece,39,Clinically Complete,Completed,Papadopoulos,Antonis,Attikon Hospital,9/22/2016 0:00,9/21/2015 0:00,8/31/2018
AI438-047,Greece,40,Active,Terminated,Paparizos,Vassilios,Andreas Syngros Hospital,,7/10/2015 0:00,8/31/2018
AI438-047,Ireland,29,Active,Recruiting,Mallon,Paddy,University College Dublin,,9/14/2015 0:00,8/31/2018
AI438-047,Italy,31,Active,Recruiting,Lazzarin,Adriano,Irccs Ospedale S. Raffaele,,12/18/2015 0:00,8/31/2018
AI438-047,Italy,32,Active,Recruiting,Antinori,Andrea,Azienda Ospedaliera Lazzaro Spallanzani,,2/26/2016 0:00,8/31/2018
AI438-047,Italy,33,Active,Recruiting,Orofino,Giancarlo,Ospedale Amedeo Di Savoia,,4/11/2016 0:00,8/31/2018
AI438-047,Italy,34,Active,Recruiting,Cauda,Roberto,Fondazione Policlinico Universitario A. Gemelli,,4/1/2016 0:00,8/31/2018
AI438-047,Italy,35,Active,Recruiting,Gori,Andrea,ASST Monza,,3/7/2016 0:00,8/31/2018
AI438-047,Italy,36,Active,Recruiting,Mussini,Cristina,A.O. Policlinico Di Modena,,3/30/2016 0:00,8/31/2018
AI438-047,Italy,37,Active,Recruiting,Rizzardini,Giuliano,ASST Fatebenefratelli Sacco,,2/23/2016 0:00,8/31/2018
AI438-047,Mexico,108,Clinically Complete,Completed,Andrade Villanueva,Jaime Federico,Hospital Civil Fray Antonio Alcalde,9/14/2016 0:00,11/18/2015 0:00,8/31/2018
AI438-047,Mexico,109,Active,"Active, Not Recruiting",Santoscoy Gomez,Mario Alberto,Centro Glucomedi Sc,,12/9/2015 0:00,8/31/2018
AI438-047,Mexico,110,Active,"Active, Not Recruiting",Trevino,Sandra Carlota,Mexico Centre For Clinical Research S.A. de C.V.,,10/26/2015 0:00,8/31/2018
AI438-047,Mexico,126,Active,"Active, Not Recruiting",Belaunzaran Zamudio,Pablo Francisco,Instituto Nacional De Ciencias Medicas Y Nutricion S.Z.,,12/18/2015 0:00,8/31/2018
AI438-047,Mexico,127,Active,"Active, Not Recruiting",Duque Rodriguez,Jorge,"Centro Ambulatorio de Prevencion y Atencion en SIDA e ITS, CAPASITS Chihuahua",,11/23/2015 0:00,8/31/2018
AI438-047,Mexico,128,Active,"Active, Not Recruiting",Romero Cabello,Raul,Instituto para el DeSarrollo Integral de la Salud S de RL de CV,,12/14/2015 0:00,8/31/2018
AI438-047,Mexico,191,Cancelled,Cancelled,Reyes Teran,Gustavo,Instituto Nacional De Enfermedades Respiratorias,,,8/31/2018
AI438-047,Netherlands,4,Clinically Complete,Completed,Hoepelman,I.M,University Medical Centre Utrecht,8/23/2016 0:00,12/9/2015 0:00,8/31/2018
AI438-047,Netherlands,9,Not Selected,Not Recruiting,Den Hollander,Jan,Maasstad Ziekenhuis Rotterdam,,,8/31/2018
AI438-047,Norway,139,Cancelled,Not Applicable,Bergersen,Bente Magny,"Oslo Universitetssykehus Hf, Ulleval",,,8/31/2018
AI438-047,Peru,13,Clinically Complete,Completed,Casapia Morales,Wilfredo Martin,Asociacion Civil Selva Amazonica (Acsa),6/28/2016 0:00,12/30/2015 0:00,8/31/2018
AI438-047,Peru,14,Clinically Complete,Completed,Echevarria,Juan,Hospital Nacional Cayetano Heredia,6/20/2016 0:00,12/4/2015 0:00,8/31/2018
AI438-047,Peru,15,Active,"Active, Not Recruiting",Mendo,Fernando,Hospital Nacional Edgardo Rebagliati Martins,,3/29/2016 0:00,8/31/2018
AI438-047,Peru,16,Active,"Active, Not Recruiting",Pinedo,Yvett,Asociacion Civil Via Libre,,11/4/2015 0:00,8/31/2018
AI438-047,Peru,17,Clinically Complete,Completed,Lucchetti,Aldo Javier,Hospital Nacional Arzobispo Loayza,6/17/2016 0:00,12/16/2015 0:00,8/31/2018
AI438-047,Poland,70,Active,"Active, Not Recruiting",Knysz,Brygida,EMC Instytut Medyczny S.A Przychodnia przy ul. Lowieckiej,,10/7/2015 0:00,8/31/2018
AI438-047,Poland,71,Not Selected,Not Recruiting,Garlicki,Aleksander,Oddzial Kliniczny Chorob Zakaznych,,,8/31/2018
AI438-047,Poland,72,Not Selected,Not Recruiting,Halota,Waldemar,Oddzial Internistyczno-Zakazny i Niedoborow Odpornosciowych,,,8/31/2018
AI438-047,Poland,73,Active,"Active, Not Recruiting",Parczewski,Milosz,NZOZ Poradnia Diabetologiczno-Internistyczna,,10/7/2015 0:00,8/31/2018
AI438-047,Poland,143,Clinically Complete,Completed,Pulik,Piotr,Centrum Diagnostyki i Terapii AIDS,6/24/2016 0:00,10/28/2015 0:00,8/31/2018
AI438-047,Portugal,133,Active,"Active, Not Recruiting",Maltez,Fernando,Hospital De Curry Cabral,,11/30/2015 0:00,8/31/2018
AI438-047,Portugal,134,Clinically Complete,"Active, Not Recruiting",Sarmento E Castro,Rui,Hospital Joaquim Urbano,7/22/2016 0:00,11/11/2015 0:00,8/31/2018
AI438-047,Portugal,136,Active,"Active, Not Recruiting",Janeiro,Nuno,"Centro Hospitalar Lisboa Norte, Epe - Hospital De Santa Mari",,12/10/2015 0:00,8/31/2018
AI438-047,Puerto Rico,48,Active,Recruiting,Morales Ramirez,Javier,Clinical Research Puerto Rico,,3/2/2015 0:00,8/31/2018
AI438-047,Romania,76,Active,"Active, Not Recruiting",Streinu Cercel,Adrian,"Matei Bals Infectious Disease, Bucharest",,11/2/2015 0:00,8/31/2018
AI438-047,Romania,77,Active,"Active, Not Recruiting",Preotescu,Liliana,"Matei Bals Infectious Disease, Bucharest",,10/30/2015 0:00,8/31/2018
AI438-047,Russian Federation,93,Cancelled,Not Recruiting,Zakharova,Natalia,St Petersburg AIDS Center,,,8/31/2018
AI438-047,Russian Federation,94,Clinically Complete,Completed,Pokrovsky,V.V,Central Research Institute Of Epidemiology,6/30/2016 0:00,3/1/2016 0:00,8/31/2018
AI438-047,Russian Federation,95,Cancelled,Not Recruiting,Gankina,Natalia,Regional Aids And Infectious Diseases Center,,,8/31/2018
AI438-047,Russian Federation,96,Not Selected,Not Recruiting,Yakovlev,Alexey,Clinical Infectious Hospital #30 Named After S.P. Botkin,,,8/31/2018
